
Learn time
Sample, mean, median, lower, upper
5%, 5789, 5627, 5052, 6998
10%, 7874, 7901, 6212, 9471
15%, 10064, 9240, 7760, 13456
20%, 12367, 12230, 9075, 16312
25%, 17622, 13943, 11780, 33986
30%, 22749, 19503, 13827, 35298
35%, 36441, 30744, 15782, 117911
40%, 53053, 34513, 21019, 212487
45%, 60784, 38453, 24048, 312928
50%, 105829, 52794, 32151, 452242
55%, 82882, 59010, 38049, 297383
60%, 164604, 58380, 38287, 986258
65%, 401407, 138086, 41496, 1429501
70%, 274357, 80673, 53428, 1523776
75%, 375708, 103077, 56540, 2388274
80%, 188359, 95772, 62470, 1017729
85%, 745543, 211739, 76767, 3373880
90%, 883206, 182432, 68153, 3469231
95%, 727213, 195548, 107182, 4840425
100%, 277066, 172325, 107959, 1281237

AUC ROC
Sample, MLN mean, MLN median, MLN lower, MLN upper, DA-MLN mean, DA-MLN median, DA-MLN lower, DA-MLN upper
5%, 0.627598625, 0.6373925, 0.46235, 0.773873, 0.7517951666666668, 0.7476695, 0.649174, 0.836756
10%, 0.7259538333333335, 0.7630030000000001, 0.447024, 0.92807, 0.8626089999999998, 0.8783885, 0.695459, 0.920537
15%, 0.8129922916666668, 0.8740969999999999, 0.563743, 0.969126, 0.8814872916666668, 0.89312, 0.78065, 0.957551
20%, 0.8769944166666667, 0.8846404999999999, 0.709408, 0.964396, 0.9027319166666669, 0.925602, 0.771999, 0.966391
25%, 0.8964354583333333, 0.9106555000000001, 0.773031, 0.961954, 0.9185501249999999, 0.9255074999999999, 0.770124, 0.964998
30%, 0.8699103333333332, 0.9160475, 0.647988, 0.970623, 0.9057117916666666, 0.934417, 0.766701, 0.979498
35%, 0.9219218749999999, 0.9366015, 0.823959, 0.979137, 0.9378533333333333, 0.9478070000000001, 0.851359, 0.971104
40%, 0.9419820416666668, 0.95252, 0.858996, 0.984692, 0.9564614166666665, 0.958024, 0.917337, 0.984021
45%, 0.9564592083333338, 0.963545, 0.905814, 0.986326, 0.9532795000000002, 0.9545925, 0.914173, 0.979395
50%, 0.9379485000000001, 0.948753, 0.86419, 0.98022, 0.9478715833333334, 0.9574819999999999, 0.886326, 0.984606
55%, 0.9655401666666665, 0.9703045, 0.907998, 0.987169, 0.9665756666666666, 0.9717235, 0.931115, 0.987066
60%, 0.9547893749999999, 0.963734, 0.910939, 0.986343, 0.9579993333333333, 0.9624785, 0.920777, 0.985105
65%, 0.9561984166666665, 0.967862, 0.899914, 0.985896, 0.9645833333333332, 0.967475, 0.912745, 0.982422
70%, 0.9634903750000001, 0.9670965, 0.92635, 0.986309, 0.9668458333333333, 0.963605, 0.945648, 0.984727
75%, 0.9713192916666668, 0.973555, 0.930031, 0.991538, 0.9728005833333332, 0.977107, 0.946543, 0.989302
80%, 0.9763344583333332, 0.976634, 0.952976, 0.991228, 0.9749356249999998, 0.9761610000000001, 0.950946, 0.989336
85%, 0.9767014166666668, 0.9777695, 0.952976, 0.988648, 0.9766654166666663, 0.9762124999999999, 0.958376, 0.987719
90%, 0.9653853333333332, 0.9716199999999999, 0.930272, 0.98765, 0.9664065416666666, 0.9716805, 0.93839, 0.987031
95%, 0.9749900833333335, 0.9751289999999999, 0.959168, 0.987754, 0.9743242083333333, 0.9743035, 0.961197, 0.9871
100%, 0.9797501249999999, 0.9794465, 0.969591, 0.988923, 0.9797501249999999, 0.9794465, 0.969591, 0.988923

AUC PR
Sample, MLN mean, MLN median, MLN lower, MLN upper, DA-MLN mean, DA-MLN median, DA-MLN lower, DA-MLN upper
5%, 0.13794941666666669, 0.13652950000000003, 0.070206, 0.255401, 0.209273625, 0.19030550000000002, 0.092501, 0.35089
10%, 0.20761970833333335, 0.1565265, 0.058095, 0.49568, 0.3660910833333333, 0.380626, 0.12028, 0.54384
15%, 0.3302489583333333, 0.3196515, 0.096332, 0.616936, 0.44263062500000006, 0.449152, 0.225027, 0.607925
20%, 0.39634299999999995, 0.3842415, 0.15681, 0.755039, 0.48576779166666656, 0.515063, 0.224258, 0.645375
25%, 0.43830837500000003, 0.460319, 0.252238, 0.61063, 0.49033487500000006, 0.5073460000000001, 0.231756, 0.660137
30%, 0.42859391666666663, 0.4647155, 0.110923, 0.684824, 0.4966190000000001, 0.5233555, 0.213921, 0.75465
35%, 0.5276337083333333, 0.5623575000000001, 0.303134, 0.67365, 0.5530227916666667, 0.561307, 0.347984, 0.6931
40%, 0.6358056666666666, 0.6120775, 0.444504, 0.855213, 0.6485074583333331, 0.6516470000000001, 0.523869, 0.773173
45%, 0.6412067500000002, 0.631832, 0.515775, 0.820299, 0.6457784166666666, 0.6514949999999999, 0.522414, 0.762838
50%, 0.5991475, 0.6144069999999999, 0.42787, 0.736598, 0.6103310000000001, 0.6317575, 0.436199, 0.734697
55%, 0.6627910416666667, 0.6681375, 0.522553, 0.786204, 0.6616758333333334, 0.6715074999999999, 0.521289, 0.788483
60%, 0.6398619583333333, 0.6403405, 0.516734, 0.776521, 0.635046125, 0.6281300000000001, 0.499881, 0.764578
65%, 0.6330055416666668, 0.6419429999999999, 0.502121, 0.794039, 0.6515988749999999, 0.6559524999999999, 0.519958, 0.753916
70%, 0.6508372083333334, 0.638011, 0.572863, 0.784179, 0.6498007500000001, 0.6286345, 0.548589, 0.805225
75%, 0.6934967916666667, 0.688005, 0.54694, 0.824172, 0.692548375, 0.6919335, 0.556255, 0.807402
80%, 0.720076125, 0.70345, 0.649396, 0.824836, 0.7103340833333333, 0.7049574999999999, 0.63747, 0.808578
85%, 0.7160401666666667, 0.7212925, 0.63274, 0.780225, 0.7087333333333331, 0.7060705, 0.655768, 0.791035
90%, 0.6709454583333333, 0.6813235, 0.525248, 0.788464, 0.6679599583333332, 0.6700710000000001, 0.52525, 0.79518
95%, 0.718732625, 0.720584, 0.615394, 0.798046, 0.7129192083333334, 0.721101, 0.609821, 0.794198
100%, 0.7317477083333332, 0.7422850000000001, 0.65405, 0.794753, 0.7317477083333332, 0.7422850000000001, 0.65405, 0.794753

CLL
Sample, MLN mean, MLN median, MLN lower, MLN upper, DA-MLN mean, DA-MLN median, DA-MLN lower, DA-MLN upper
5%, -0.28424870833333343, -0.2173535, -0.984222, -0.195448, -0.22446808333333332, -0.213179, -0.384599, -0.203449
10%, -0.4339756666666666, -0.33286499999999997, -1.255808, -0.185029, -0.2122736666666667, -0.2080315, -0.270462, -0.185222
15%, -0.2773532083333333, -0.212056, -1.038755, -0.189167, -0.20949179166666673, -0.211147, -0.241489, -0.184616
